Text Key,Page number,Page Name,Container Name,On screen text,text font size,font style,font attribute
header_yeg,Header,Global Top Navigation,Brand Logo Badge,EGG,10px - 12px,Open Sans,Black (900)
header_title_curbside,Header,Global Top Navigation,Brand Title,Curbside,12px - 14px,Open Sans,"Black (900), Tracking-wide"
header_title_compass,Header,Global Top Navigation,Brand Title,Compass,12px - 14px,Open Sans,"Black (900), Tracking-wide"
header_live_trend,Header,Global Top Navigation,Live Persona Trend Pill,Live Trend:,11px,Open Sans,Normal (400)
header_final_persona,Header,Global Top Navigation,Live Persona Trend Pill,Final Persona:,11px,Open Sans,Normal (400)
header_reset_btn,Header,Global Top Navigation,Header Actions,Reset,11px - 12px,Open Sans,Semibold (600)
header_retake_btn,Header,Global Top Navigation,Header Actions,Retake,11px - 12px,Open Sans,Bold (700)
nav_btn_previous,Global,Navigation Footer,Navigation Action,Previous,12px - 14px,Open Sans,Semibold (600)
nav_btn_next,Global,Navigation Footer,Navigation Action,Next,12px - 14px,Open Sans,Bold (700)
nav_alert_select_option,Global,Question Card,Validation Alert,Please select an option to advance.,12px - 14px,Open Sans,Semibold (600)
q1_progress_title,1,Page 1 - Question 1 (Residential Policy),Progress Bar Header,QUESTION 1 OF 9,12px - 14px,Open Sans,"Bold (700), Uppercase, Tracking-wider"
q1_category,1,Page 1 - Question 1 (Residential Policy),Progress Bar Header,Residential Policy,12px - 14px,Open Sans,"Normal (400), Capitalize"
q1_question,1,Page 1 - Question 1 (Residential Policy),Question Card,Who should pay for residential parking programs?,14px - 18px (up to 16pt / 21.3px),Open Sans,"Bold (700), Leading-snug"
q1_option_a,1,Page 1 - Question 1 (Residential Policy),Option A Radio Card,Residents with vehicles in residential parking program areas pay permit fees that cover all program costs.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q1_option_b,1,Page 1 - Question 1 (Residential Policy),Option B Radio Card,Tax-payers cover program costs through property tax revenues.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q1_hint_a,1,Page 1 - Question 1 (Residential Policy),Simulation Feedback Hint A,"Residents with vehicles in the program area pay permit fees, which fully cover program costs and reduce street parking by encouraging off-street driveway parking.",11px - 12px,Open Sans,"Normal (400), Italic"
q1_hint_b,1,Page 1 - Question 1 (Residential Policy),Simulation Feedback Hint B,"Since no fee is charged, more vehicles park on the street.",11px - 12px,Open Sans,"Normal (400), Italic"
q2_progress_title,2,Page 2 - Question 2 (Visitors Policy),Progress Bar Header,QUESTION 2 OF 9,12px - 14px,Open Sans,"Bold (700), Uppercase, Tracking-wider"
q2_category,2,Page 2 - Question 2 (Visitors Policy),Progress Bar Header,Visitors Policy,12px - 14px,Open Sans,"Normal (400), Capitalize"
q2_question,2,Page 2 - Question 2 (Visitors Policy),Question Card,Should your neighbourhood limit the number of on-street parking permits residents can hold?,14px - 18px (up to 16pt / 21.3px),Open Sans,"Bold (700), Leading-snug"
q2_option_a,2,Page 2 - Question 2 (Visitors Policy),Option A Radio Card,Yes.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q2_option_b,2,Page 2 - Question 2 (Visitors Policy),Option B Radio Card,No.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q2_hint_a,2,Page 2 - Question 2 (Visitors Policy),Simulation Feedback Hint A,Limiting on-street parking permits reduces the number of vehicles parked on the street and encourages off-street or driveway parking.,11px - 12px,Open Sans,"Normal (400), Italic"
q2_hint_b,2,Page 2 - Question 2 (Visitors Policy),Simulation Feedback Hint B,"Since no fee is charged, more vehicles park on the street.",11px - 12px,Open Sans,"Normal (400), Italic"
q3_progress_title,3,Page 3 - Question 3 (Commercial Policy),Progress Bar Header,QUESTION 3 OF 9,12px - 14px,Open Sans,"Bold (700), Uppercase, Tracking-wider"
q3_category,3,Page 3 - Question 3 (Commercial Policy),Progress Bar Header,Commercial Policy,12px - 14px,Open Sans,"Normal (400), Capitalize"
q3_question,3,Page 3 - Question 3 (Commercial Policy),Question Card,What restrictions should be placed on commercial and trade vehicles in residential areas?,14px - 18px (up to 16pt / 21.3px),Open Sans,"Bold (700), Leading-snug"
q3_option_a,3,Page 3 - Question 3 (Commercial Policy),Option A Radio Card,Specialized paid permits are required to access work/loading zones.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q3_option_b,3,Page 3 - Question 3 (Commercial Policy),Option B Radio Card,No restrictions - commercial and trade vehicles have access and do not require paid permits.,12px - 16px (up to 16pt / 21.3px),Open Sans,"Semibold (600), Leading-snug"
q3_hint_a,3,Page 3 - Question 3 (Commercial Policy),Simulation Feedback Hint A,"Since a fee is charged, fewer vehicles park on the street and more park in driveways.",11px - 12px,Open Sans,"Normal (400), Italic"
